GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ExpenseManagementProject,com.nineleaps.expensemanagementproject.controller,EmployeeController,58,3,0,0,14,1,10,1,10,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.controller,CurrencyController,14,3,0,0,2,1,2,1,2,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.controller,ExpenseController,47,3,0,0,10,1,9,1,9,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.controller,CategoryController,51,3,0,0,11,1,10,1,10,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.controller,ExcelController,80,3,8,0,23,1,6,1,2,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.controller,UserController,124,3,2,0,29,1,4,1,3,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.controller,ReportsController,218,3,8,0,49,1,26,1,22,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.entity,Reports,91,181,0,0,27,78,2,48,2,48
ExpenseManagementProject,com.nineleaps.expensemanagementproject.entity,Category,0,74,0,0,0,27,0,12,0,12
ExpenseManagementProject,com.nineleaps.expensemanagementproject.entity,Expense,71,151,0,0,22,66,1,41,1,41
ExpenseManagementProject,com.nineleaps.expensemanagementproject.entity,FinanceApprovalStatus,0,44,0,0,0,2,0,1,0,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.entity,ManagerApprovalStatus,0,54,0,0,0,2,0,1,0,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.entity,ManagerApprovalStatusExpense,0,44,0,0,0,2,0,1,0,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.entity,StatusExcel,0,44,0,0,0,2,0,1,0,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.entity,Currency,0,334,0,0,0,3,0,1,0,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.entity,Employee,0,178,0,0,0,66,0,30,0,30
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,PdfGeneratorServiceImpl,680,69,10,0,166,18,7,3,2,3
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,EmployeeServiceImpl,238,3,4,0,64,1,18,1,16,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,CategoryServiceImpl,379,640,26,42,80,128,28,26,8,12
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,ExcelGeneratorCategoryServiceImpl,336,70,20,2,82,18,13,4,2,4
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,ReportsServiceImpl,1616,195,179,16,357,41,114,14,16,10
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,PdfGeneratorServiceImpl.new PdfPageEventHelper() {...},82,0,0,0,14,0,2,0,2,0
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,ExcelGeneratorReportsServiceImpl,32,718,10,24,9,161,10,11,0,4
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,EmailServiceImpl,653,6,20,0,157,3,19,1,9,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,ExpenseServiceImpl,267,175,28,6,61,40,20,11,4,10
ExpenseManagementProject,com.nineleaps.expensemanagementproject.service,CurrencyExchangeServiceImpl,95,3,8,0,28,1,6,1,2,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.util,ImageUtil,16,0,0,0,5,0,2,0,2,0
ExpenseManagementProject,com.nineleaps.expensemanagementproject,ExpenseManagementProjectApplication,5,3,0,0,2,1,1,1,1,1
ExpenseManagementProject,com.nineleaps.expensemanagementproject.config,JwtFilter,0,69,4,6,0,17,4,3,0,2
ExpenseManagementProject,com.nineleaps.expensemanagementproject.config,JwtUtil,72,6,0,0,17,3,3,2,3,2
ExpenseManagementProject,com.nineleaps.expensemanagementproject.config,JwtUtil.TokenResponse,15,0,0,0,6,0,3,0,3,0
ExpenseManagementProject,com.nineleaps.expensemanagementproject.config,SwaggerConfig,0,105,0,0,0,21,0,6,0,6
ExpenseManagementProject,com.nineleaps.expensemanagementproject.config,SecurityConfig,0,60,0,0,0,8,0,4,0,4
ExpenseManagementProject,com.nineleaps.expensemanagementproject.DTO,EmployeeDTO,86,0,0,0,36,0,18,0,18,0
ExpenseManagementProject,com.nineleaps.expensemanagementproject.DTO,CategoryDTO,16,0,0,0,8,0,4,0,4,0
ExpenseManagementProject,com.nineleaps.expensemanagementproject.DTO,ReportsDTO,26,0,0,0,12,0,6,0,6,0
ExpenseManagementProject,com.nineleaps.expensemanagementproject.DTO,ExpenseDTO,43,0,0,0,16,0,8,0,8,0
ExpenseManagementProject,com.nineleaps.expensemanagementproject.DTO,UserDTO,3,0,0,0,1,0,1,0,1,0
